Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
2013-01;RER;A;RER A;83.6;5.1
2013-01;Transilien;R;Paris Sud Est;87.2;6.8
2013-03;Transilien;H;Paris Nord Ouest;92.3;12.0
2013-04;Transilien;N;Paris Montparnasse;90.2;9.2
2013-05;RER;D;RER D;87.1;6.8
2013-05;Transilien;K;Paris Nord Crépy;81.3;4.3
2013-06;Transilien;N;Paris Montparnasse;93.9;15.4
2013-06;Transilien;P;Paris Est;89.4;8.4
2013-08;Transilien;P;Paris Est;92.1;11.7
2013-09;RER;A;RER A;83.3;5.0
2013-09;Transilien;U;La Verrière - La Défense;92.9;13.1
2013-10;RER;C;RER C;85.6;5.9
2013-10;Transilien;J;Paris Saint-Lazare Nord;83.2;5.0
2013-11;RER;D;RER D;76.9;3.3
2013-11;Transilien;K;Paris Nord Crépy;77.7;3.5
2013-11;Transilien;P;Paris Est;82.8;4.8
2013-11;Transilien;R;Paris Sud Est;82.5;4.7
2013-12;RER;A;RER A;81.2;4.3
2013-12;RER;B;RER B;82.4;4.7
2013-12;RER;D;RER D;85.5;5.9
2013-12;Transilien;H;Paris Nord Ouest;94.7;17.9
2013-12;Transilien;L;Paris Saint-Lazare Sud;83.0;4.9
2013-12;Transilien;P;Paris Est;91.0;10.1
2014-01;RER;A;RER A;81.1;4.3
2014-01;RER;C;RER C;91.4;10.6
2014-01;Transilien;J;Paris Saint-Lazare Nord;82.0;4.6
2014-01;Transilien;K;Paris Nord Crépy;76.6;3.3
2014-01;Transilien;R;Paris Sud Est;89.7;8.7
2014-03;RER;D;RER D;87.9;7.3
2014-03;Transilien;R;Paris Sud Est;91.5;10.8
2014-05;RER;A;RER A;87.6;7.1
2014-05;RER;B;RER B;89.4;8.4
2014-05;Transilien;P;Paris Est;92.7;12.7
2014-07;Transilien;R;Paris Sud Est;89.7;8.7
2014-07;Transilien;U;La Verrière - La Défense;93.3;13.9
2014-08;Transilien;J;Paris Saint-Lazare Nord;87.4;6.9
2014-08;Transilien;K;Paris Nord Crépy;91.3;10.5
2014-09;RER;A;RER A;70.9;2.4
2014-10;RER;D;RER D;81.4;4.4
2014-10;Transilien;K;Paris Nord Crépy;86.5;6.4
2014-11;RER;C;RER C;86.735;6.5
2014-11;Transilien;K;Paris Nord Crépy;84.573;5.5
2014-12;RER;C;RER C;89.3;8.3
2014-12;RER;D;RER D;84.2;5.3
2014-12;Transilien;J;Paris Saint-Lazare Nord;84.3;5.4
2014-12;Transilien;L;Paris Saint-Lazare Sud;80.4;4.1
2014-12;Transilien;U;La Verrière - La Défense;91.8;11.2
2015-01;RER;B;RER B;88.5;7.7
2015-01;Transilien;H;Paris Nord Ouest;95.565;21.5
2015-01;Transilien;K;Paris Nord Crépy;87.18;6.8
2015-01;Transilien;R;Paris Sud Est;89.231;8.3
2015-03;RER;A;RER A;71.955;2.6
2015-03;RER;C;RER C;88.916;8.0
2015-03;RER;E;RER E;96.326;26.2
2015-03;Transilien;N;Paris Montparnasse;94.754;18.1
2015-04;RER;D;RER D;86.555;6.4
2015-04;RER;E;RER E;90.539;9.6
2015-04;Transilien;U;La Verrière - La Défense;93.168;13.6
2015-05;RER;B;RER B;86.995;6.7
2015-05;RER;E;RER E;95.987;23.9
2015-06;Transilien;L;Paris Saint-Lazare Sud;82.635;4.8
2015-07;RER;D;RER D;87.7;7.1
2015-07;RER;E;RER E;93.5;14.4
2015-07;Transilien;K;Paris Nord Crépy;89.4;8.4
2015-08;Transilien;H;Paris Nord Ouest;96.3;26.0
2015-08;Transilien;L;Paris Saint-Lazare Sud;89.9;8.9
2015-09;RER;B;RER B;89.361;8.4
2015-09;RER;E;RER E;89.903;8.9
2015-09;Transilien;H;Paris Nord Ouest;95.658;22.0
2015-09;Transilien;N;Paris Montparnasse;92.971;13.2
2015-10;Transilien;H;Paris Nord Ouest;93.511;14.4
2015-12;RER;C;RER C;90.3;9.3
2015-12;Transilien;K;Paris Nord Crépy;85.9;6.1
2015-12;Transilien;L;Paris Saint-Lazare Sud;88.1;7.4
2015-12;Transilien;N;Paris Montparnasse;92.6;12.5
2016-01;Transilien;H;Paris Nord Ouest;95.7;22.3
2016-01;Transilien;N;Paris Montparnasse;92.1;11.7
2016-01;Transilien;R;Paris Sud Est;87.2;6.8
2016-02;Transilien;K;Paris Nord Crépy;85.5;5.9
2016-02;Transilien;N;Paris Montparnasse;93.7;14.9
2016-03;RER;B;RER B;89.5;8.5
2016-03;RER;C;RER C;88.3;7.5
2016-03;Transilien;P;Paris Est;89.2;8.3
2016-04;Transilien;H;Paris Nord Ouest;96.4;26.8
2016-05;Transilien;K;Paris Nord Crépy;92.3;12.0
2016-05;Transilien;N;Paris Montparnasse;89.9;8.9
2016-06;RER;B;RER B;88.1;7.4
2016-06;Transilien;H;Paris Nord Ouest;93.8;15.1
2016-06;Transilien;K;Paris Nord Crépy;89.4;8.4
2016-06;Transilien;L;Paris Saint-Lazare Sud;88.3;7.5
2016-06;Transilien;N;Paris Montparnasse;80.3;4.1
2016-07;Transilien;R;Paris Sud Est;86.7;6.5
2016-08;Transilien;P;Paris Est;87.6;7.1
2016-09;RER;C;RER C;88.6;7.8
2016-09;Transilien;H;Paris Nord Ouest;96.4;26.8
2016-09;Transilien;L;Paris Saint-Lazare Sud;90.7;9.8
2016-09;Transilien;R;Paris Sud Est;87.4;6.9
2016-10;RER;A;RER A;70.6;2.4
2016-10;Transilien;N;Paris Montparnasse;93.7;14.9
2016-10;Transilien;U;La Verrière - La Défense;94.6;17.5
2016-11;RER;C;RER C;86.4;6.4
2016-11;Transilien;L;Paris Saint-Lazare Sud;86.0;6.1
2016-11;Transilien;P;Paris Est;87.7;7.1
2016-11;Transilien;R;Paris Sud Est;83.8;5.2
2016-11;Transilien;U;La Verrière - La Défense;93.3;13.9
2016-12;Transilien;K;Paris Nord Crépy;86.5;6.4
2016-12;Transilien;L;Paris Saint-Lazare Sud;89.5;8.5
2016-12;Transilien;P;Paris Est;90.7;9.8
2016-12;Transilien;U;La Verrière - La Défense;94.5;17.2
2017-01;RER;C;RER C;87.3;6.9
2017-01;RER;D;RER D;85.2;5.8
2017-01;Transilien;R;Paris Sud Est;88.8;7.9
2017-02;Transilien;H;Paris Nord Ouest;93.1;13.5
2017-02;Transilien;J;Paris Saint-Lazare Nord;92.5;12.3
2017-02;Transilien;R;Paris Sud Est;89.6;8.6
2017-03;RER;E;RER E;94.2;16.2
2017-04;RER;B;RER B;84.2;5.3
2017-04;Transilien;P;Paris Est;94.4;16.9
2017-05;Transilien;L;Paris Saint-Lazare Sud;88.916;8.0
2017-05;Transilien;R;Paris Sud Est;84.346;5.4
2017-06;RER;C;RER C;85.009;5.7
2017-06;RER;D;RER D;82.962;4.9
2017-06;Transilien;N;Paris Montparnasse;90.031;9.0
2017-07;RER;C;RER C;89.405;8.4
2017-07;Transilien;U;La Verrière - La Défense;92.59;12.5
2017-08;RER;B;RER B;93.2;13.7
2017-08;Transilien;N;Paris Montparnasse;92.0;11.5
2017-08;Transilien;P;Paris Est;92.2;11.8
2017-08;Transilien;U;La Verrière - La Défense;96.1;24.6
2017-10;Transilien;K;Paris Nord Crépy;92.2;11.8
2017-10;Transilien;R;Paris Sud Est;85.2;5.8
2017-10;Transilien;U;La Verrière - La Défense;92.1;11.7
2017-11;RER;A;RER A;71.02;2.5
2017-11;Transilien;H;Paris Nord Ouest;88.7;7.8
2017-11;Transilien;U;La Verrière - La Défense;89.1;8.2
2017-12;RER;E;RER E;94.0;15.7
2017-12;Transilien;J;Paris Saint-Lazare Nord;85.8;6.0
2017-12;Transilien;K;Paris Nord Crépy;90.0;9.0
2017-12;Transilien;L;Paris Saint-Lazare Sud;86.3;6.3
2018-01;Transilien;R;Paris Sud Est;81.7;4.5
2018-02;Transilien;J;Paris Saint-Lazare Nord;84.1;5.3
2018-02;Transilien;P;Paris Est;76.3;3.2
2018-02;Transilien;R;Paris Sud Est;73.2;2.7
2018-03;RER;D;RER D;82.2;4.6
2018-03;Transilien;K;Paris Nord Crépy;93.0;13.3
2018-03;Transilien;N;Paris Montparnasse;89.5;8.5
2018-04;RER;A;RER A;80.8;4.2
2018-04;Transilien;N;Paris Montparnasse;91.2;10.4
2018-05;Transilien;L;Paris Saint-Lazare Sud;91.5;10.8
2018-06;Transilien;N;Paris Montparnasse;89.6;8.6
2018-07;RER;A;RER A;78.5;3.7
2018-07;RER;E;RER E;90.2;9.2
2018-07;Transilien;H;Paris Nord Ouest;93.5;14.4
2018-07;Transilien;J;Paris Saint-Lazare Nord;89.4;8.4
2018-07;Transilien;L;Paris Saint-Lazare Sud;89.3;8.3
2018-07;Transilien;P;Paris Est;88.2;7.5
2018-07;Transilien;R;Paris Sud Est;81.7;4.5
2018-08;Transilien;L;Paris Saint-Lazare Sud;95.9;23.4
2018-08;Transilien;U;La Verrière - La Défense;90.8;9.9
2018-09;Transilien;L;Paris Saint-Lazare Sud;90.7;9.8
2018-10;Transilien;J;Paris Saint-Lazare Nord;88.3;7.5
2018-11;RER;C;RER C;83.5;5.1
2018-11;Transilien;L;Paris Saint-Lazare Sud;88.2;7.5
2018-11;Transilien;U;La Verrière - La Défense;90.4;9.4
2018-12;RER;D;RER D;87.0;6.7
2018-12;Transilien;L;Paris Saint-Lazare Sud;92.1;11.7
2018-12;Transilien;R;Paris Sud Est;85.3;5.8
2019-01;Transilien;K;Paris Nord Crépy;85.2;5.8
2019-02;RER;D;RER D;85.574;5.9
2019-02;Transilien;H;Paris Nord Ouest;93.421;14.2
2019-03;RER;E;RER E;95.286;20.2
2019-04;RER;A;RER A;89.4;8.4
2019-04;RER;B;RER B;87.7;7.1
2019-04;RER;D;RER D;87.09;6.7
2019-05;Transilien;N;Paris Montparnasse;94.099;15.9
2019-06;RER;C;RER C;86.092;6.2
2019-08;RER;E;RER E;85.001;5.7
2019-08;Transilien;J;Paris Saint-Lazare Nord;94.401;16.9
2019-08;Transilien;R;Paris Sud Est;86.617;6.5
2019-09;RER;A;RER A;87.573;7.0
2019-09;Transilien;K;Paris Nord Crépy;91.221;10.4
2019-10;RER;D;RER D;79.859;4.0
2019-10;RER;E;RER E;91.415;10.6
2019-10;Transilien;K;Paris Nord Crépy;86.629;6.5
2019-11;RER;B;RER B;78.263;3.6
2019-11;RER;D;RER D;83.007;4.9
2019-11;Transilien;K;Paris Nord Crépy;93.756;15.0
2019-11;Transilien;P;Paris Est;87.341;6.9
2019-11;Transilien;U;La Verrière - La Défense;96.521;27.7
2020-02;RER;C;RER C;83.249;4.97
2020-02;RER;E;RER E;88.05;7.368
2020-02;Transilien;L;Paris Saint-Lazare Sud;92.863;13.011
2020-02;Transilien;R;Paris Sud Est;80.723;4.188
2020-06;Transilien;N;Paris Montparnasse;90.864;9.946
2020-07;RER;A;RER A;89.038;8.122
2020-07;RER;B;RER B;89.142;8.21
2020-07;RER;E;RER E;93.793;15.111
2020-07;Transilien;J;Paris Saint-Lazare Nord;92.495;12.324
2020-07;Transilien;K;Paris Nord Crépy;93.239;13.791
2020-08;Transilien;U;La Verrière - La Défense;96.763;29.897
2020-09;RER;E;RER E;92.264;11.927
2020-09;Transilien;R;Paris Sud Est;90.616;9.656
2020-10;RER;B;RER B;82.877;4.84
2020-10;RER;C;RER C;86.411;6.359
2020-10;Transilien;H;Paris Nord Ouest;92.641;12.59
2020-10;Transilien;K;Paris Nord Crépy;87.645;7.094
2020-10;Transilien;N;Paris Montparnasse;93.261;13.84
2020-10;Transilien;P;Paris Est;91.472;10.726
2020-11;RER;B;RER B;87.683;7.119
2020-11;RER;C;RER C;91.637;10.958
2020-11;Transilien;P;Paris Est;93.767;15.044
2020-12;Transilien;H;Paris Nord Ouest;96.386;26.667
2020-12;Transilien;J;Paris Saint-Lazare Nord;92.082;11.629
2020-12;Transilien;P;Paris Est;92.782;12.854
2021-01;RER;E;RER E;94.692;17.841
2021-01;Transilien;H;Paris Nord Ouest;94.673;17.774
2021-02;Transilien;K;Paris Nord Crépy;90.965;10.068
2021-02;Transilien;L;Paris Saint-Lazare Sud;89.43;8.46
2021-03;RER;A;RER A;88.795;7.924
2021-03;RER;B;RER B;88.663;7.821
2021-03;RER;E;RER E;93.919;15.446
2021-03;Transilien;U;La Verrière - La Défense;95.385;20.667
2021-04;RER;B;RER B;88.612;7.781
2021-05;Transilien;P;Paris Est;95.122;19.5
2021-05;Transilien;U;La Verrière - La Défense;97.197;34.677
2021-07;RER;E;RER E;91.978;11.466
2021-07;Transilien;H;Paris Nord Ouest;96.649;28.844
2021-07;Transilien;K;Paris Nord Crépy;93.304;13.935
2021-07;Transilien;P;Paris Est;92.354;12.078
2021-07;Transilien;R;Paris Sud Est;90.771;9.835
2021-08;Transilien;K;Paris Nord Crépy;95.36;20.554
2021-08;Transilien;N;Paris Montparnasse;96.911;31.373
2021-08;Transilien;P;Paris Est;94.686;17.818
2021-09;RER;C;RER C;93.155;13.609
2021-09;Transilien;H;Paris Nord Ouest;96.309;26.093
2021-09;Transilien;K;Paris Nord Crépy;95.429;20.877
2021-09;Transilien;R;Paris Sud Est;88.138;7.43
2021-09;Transilien;U;La Verrière - La Défense;95.151;19.625
2021-10;RER;A;RER A;86.592;6.458
2021-10;Transilien;P;Paris Est;89.298;8.344
2021-11;RER;E;RER E;93.918;15.443
2021-11;Transilien;K;Paris Nord Crépy;93.467;14.308
2021-11;Transilien;P;Paris Est;87.623;7.08
2021-11;Transilien;R;Paris Sud Est;89.031;8.116
2021-12;RER;B;RER B;82.741;4.794
2021-12;Transilien;H;Paris Nord Ouest;96.717;29.457
2021-12;Transilien;L;Paris Saint-Lazare Sud;95.018;19.073
2022-01;RER;C;RER C;87.659;7.103
2022-01;RER;E;RER E;94.085;15.906
2022-01;Transilien;H;Paris Nord Ouest;96.21;25.387
2022-01;Transilien;R;Paris Sud Est;90.66;9.707
2022-02;RER;A;RER A;92.496;12.326
2022-02;RER;B;RER B;84.972;5.654
2022-03;RER;B;RER B;85.901;6.093
2022-03;RER;E;RER E;92.404;12.165
2022-03;Transilien;N;Paris Montparnasse;95.364;20.572
2022-03;Transilien;P;Paris Est;88.578;7.755
2022-04;RER;A;RER A;91.146;10.295
2022-04;RER;E;RER E;93.432;14.225
2022-04;Transilien;J;Paris Saint-Lazare Nord;94.786;18.177
2022-04;Transilien;L;Paris Saint-Lazare Sud;94.632;17.628
2022-05;Transilien;R;Paris Sud Est;92.278;11.95
2022-06;RER;A;RER A;83.837;5.187
2022-06;Transilien;P;Paris Est;82.365;4.671
2022-06;Transilien;R;Paris Sud Est;88.997;8.088
2022-07;Transilien;K;Paris Nord Crépy;98.711;76.556
2022-07;Transilien;U;La Verrière - La Défense;44.925;0.816
2022-08;RER;B;RER B;82.371;4.672
2022-08;Transilien;L;Paris Saint-Lazare Sud;96.856;30.807
2022-09;RER;E;RER E;93.648;14.743
2022-09;Transilien;H;Paris Nord Ouest;96.975;32.063
2022-09;Transilien;K;Paris Nord Crépy;98.429;62.673
2022-09;Transilien;R;Paris Sud Est;91.566;10.857
2022-10;Transilien;P;Paris Est;90.442;9.463
2022-11;Transilien;H;Paris Nord Ouest;95.366;20.579
2022-11;Transilien;R;Paris Sud Est;87.993;7.329
2022-11;Transilien;U;La Verrière - La Défense;92.174;11.778
2022-12;RER;B;RER B;81.464;4.395
2022-12;RER;E;RER E;93.528;14.451
2023-01;RER;E;RER E;94.235;16.346
2023-01;Transilien;L;Paris Saint-Lazare Sud;96.367;26.524
2023-01;Transilien;P;Paris Est;90.853;9.933
2023-01;Transilien;U;La Verrière - La Défense;95.689;22.199
2023-02;RER;E;RER E;93.251;13.816
2023-02;Transilien;U;La Verrière - La Défense;97.405;37.536
2023-03;RER;D;RER D;90.845;9.923
2023-04;RER;B;RER B;81.774;4.487
2023-04;RER;C;RER C;89.337;8.378
2023-04;Transilien;K;Paris Nord Crépy;92.796;12.881
2023-04;Transilien;L;Paris Saint-Lazare Sud;96.284;25.912
2023-04;Transilien;U;La Verrière - La Défense;94.999;18.996
2023-05;Transilien;U;La Verrière - La Défense;95.63;21.882
2023-06;Transilien;K;Paris Nord Crépy;94.098;15.942
2023-06;Transilien;P;Paris Est;90.299;9.308
2023-06;Transilien;U;La Verrière - La Défense;95.387;20.679
2023-07;RER;C;RER C;82.103;4.588
2023-07;RER;D;RER D;89.732;8.739
2023-07;RER;E;RER E;93.038;13.363
2023-07;Transilien;H;Paris Nord Ouest;95.394;20.712
2023-07;Transilien;J;Paris Saint-Lazare Nord;94.313;16.585
2023-08;RER;D;RER D;89.666;8.676
2023-08;RER;E;RER E;94.691;17.836
2023-08;Transilien;H;Paris Nord Ouest;96.952;31.805
2023-08;Transilien;P;Paris Est;87.333;6.895
2023-08;Transilien;U;La Verrière - La Défense;97.53;39.478
2023-09;Transilien;H;Paris Nord Ouest;95.707;22.296
2023-09;Transilien;R;Paris Sud Est;90.571;9.606
2023-09;Transilien;U;La Verrière - La Défense;96.05;24.315
2023-10;Transilien;K;Paris Nord Crépy;97.995;48.877
2023-10;Transilien;L;Paris Saint-Lazare Sud;94.577;17.438
2023-10;Transilien;U;La Verrière - La Défense;95.391;20.697
2023-11;RER;B;RER B;77.206;3.387
2023-11;RER;E;RER E;90.452;9.474
2023-11;Transilien;H;Paris Nord Ouest;90.789;9.856
2023-12;RER;D;RER D;81.647;4.449
2023-12;Transilien;J;Paris Saint-Lazare Nord;92.093;11.647
2024-01;RER;C;RER C;80.928;4.243
2024-03;RER;B;RER B;85.356;5.829
2024-03;RER;D;RER D;81.881;4.519
2024-03;Transilien;L;Paris Saint-Lazare Sud;93.771;15.054
2024-04;RER;B;RER B;87.84;7.224
2024-04;RER;D;RER D;87.227;6.829
2024-04;Transilien;U;La Verrière - La Défense;95.577;21.608
2024-05;RER;D;RER D;89.499;8.523
2024-05;Transilien;H;Paris Nord Ouest;95.695;22.23
2024-06;RER;A;RER A;89.939;8.94
2024-07;RER;E;RER E;94.897;18.598
2024-07;Transilien;H;Paris Nord Ouest;96.818;30.422
2024-07;Transilien;L;Paris Saint-Lazare Sud;95.529;21.367
2024-07;Transilien;U;La Verrière - La Défense;95.888;23.321
2024-08;RER;B;RER B;92.36;12.09
2024-08;RER;C;RER C;95.789;22.749
2024-08;Transilien;H;Paris Nord Ouest;98.004;49.1
2024-08;Transilien;L;Paris Saint-Lazare Sud;98.363;60.069
2024-08;Transilien;P;Paris Est;96.154;25.001
2024-09;RER;B;RER B;86.851;6.605
2024-09;RER;D;RER D;89.605;8.62
2024-09;RER;E;RER E;92.383;12.128
2024-09;Transilien;H;Paris Nord Ouest;97.479;38.66
2024-10;Transilien;K;Paris Nord Crépy;94.546;17.336
2024-10;Transilien;N;Paris Montparnasse;93.973;15.593
2024-10;Transilien;P;Paris Est;90.347;9.36
2024-10;Transilien;U;La Verrière - La Défense;94.36;16.73
2024-11;RER;C;RER C;84.462;5.436
2024-11;RER;E;RER E;93.529;14.454
2024-11;Transilien;H;Paris Nord Ouest;94.174;16.163
2024-11;Transilien;U;La Verrière - La Défense;93.281;13.882
2024-12;RER;D;RER D;89.103;8.177
2024-12;Transilien;H;Paris Nord Ouest;94.09;15.92
2024-12;Transilien;N;Paris Montparnasse;94.701;17.87
2024-12;Transilien;R;Paris Sud Est;92.31;12.003
2025-01;RER;A;RER A;88.638;7.802
2025-01;RER;D;RER D;87.279;6.861
2025-01;Transilien;R;Paris Sud Est;88.51;7.703
2025-01;Transilien;U;La Verrière - La Défense;88.047;7.366
2025-02;RER;B;RER B;88.669;7.825
2025-02;Transilien;R;Paris Sud Est;87.733;7.152
2025-03;Transilien;H;Paris Nord Ouest;96.343;26.341
2025-03;Transilien;J;Paris Saint-Lazare Nord;93.838;15.228
2025-03;Transilien;L;Paris Saint-Lazare Sud;95.416;20.813
2025-03;Transilien;P;Paris Est;92.105;11.667
2025-03;Transilien;R;Paris Sud Est;90.579;9.615
2025-04;Transilien;P;Paris Est;93.252;13.82
2025-05;RER;B;RER B;87.419;6.949
2025-05;RER;C;RER C;92.466;12.273
2025-05;Transilien;N;Paris Montparnasse;96.266;25.782
2025-05;Transilien;P;Paris Est;88.915;8.022
2025-05;Transilien;U;La Verrière - La Défense;93.897;15.384
2025-06;RER;C;RER C;86.067;6.177
2025-06;RER;E;RER E;88.113;7.412
2025-06;Transilien;N;Paris Montparnasse;95.791;22.759
2025-07;RER;A;RER A;89.374;8.411
2025-07;Transilien;K;Paris Nord Crépy;95.227;19.953
2025-07;Transilien;L;Paris Saint-Lazare Sud;92.32;12.021
2025-07;Transilien;R;Paris Sud Est;89.609;8.624
2025-08;RER;A;RER A;94.754;18.062
2025-08;RER;B;RER B;93.682;14.828
2025-09;Transilien;H;Paris Nord Ouest;94.321;16.607
2025-09;Transilien;N;Paris Montparnasse;97.057;32.973
2025-09;Transilien;U;La Verrière - La Défense;91.239;10.415
2025-10;Transilien;L;Paris Saint-Lazare Sud;94.335;16.652
2025-11;RER;A;RER A;86.429;6.369
2025-11;RER;B;RER B;81.126;4.298
2025-11;RER;C;RER C;87.003;6.694
2025-11;RER;E;RER E;91.13;10.273
2025-11;Transilien;J;Paris Saint-Lazare Nord;91.35;10.561
2025-12;RER;D;RER D;87.928;7.284
2025-12;Transilien;R;Paris Sud Est;89.614;8.629
2026-01;RER;C;RER C;82.755;4.799
2026-01;RER;D;RER D;80.455;4.116
2026-01;Transilien;L;Paris Saint-Lazare Sud;91.101;10.237
2026-01;Transilien;U;La Verrière - La Défense;89.135;8.204
2026-02;Transilien;K;Paris Nord Crépy;95.909;23.444
2026-02;Transilien;R;Paris Sud Est;89.005;8.095
2026-02;Transilien;U;La Verrière - La Défense;91.763;11.14
2026-03;Transilien;H;Paris Nord Ouest;93.845;15.247
2026-03;Transilien;R;Paris Sud Est;93.515;14.421
2013-02;Transilien;N;Paris Montparnasse;93.3;13.9
2013-02;Transilien;P;Paris Est;89.4;8.4
2013-02;Transilien;R;Paris Sud Est;88.2;7.5
2013-03;Transilien;J;Paris Saint-Lazare Nord;84.2;5.3
2013-03;Transilien;K;Paris Nord Crépy;77.3;3.4
2013-04;RER;B;RER B;86.4;6.4
2013-04;RER;C;RER C;88.7;7.8
2013-04;RER;E;RER E;96.2;25.3
2013-04;Transilien;L;Paris Saint-Lazare Sud;84.4;5.4
2013-04;Transilien;R;Paris Sud Est;89.3;8.3
2013-05;RER;C;RER C;92.3;12.0
2013-05;Transilien;H;Paris Nord Ouest;95.9;23.4
2013-05;Transilien;N;Paris Montparnasse;96.1;24.6
2013-06;RER;A;RER A;83.4;5.0
